Top 1   hits: 30.78
Top 2   hits: 42.02
Top 3   hits: 48.67
Top 4   hits: 54.13
Top 5   hits: 58.03
Top 6   hits: 61.00
Top 7   hits: 63.52
Top 8   hits: 65.46
Top 9   hits: 66.98
Top 10  hits: 68.75
Top 11  hits: 69.83
Top 12  hits: 71.08
Top 13  hits: 72.16
Top 14  hits: 73.10
Top 15  hits: 73.93
Top 16  hits: 74.74
Top 17  hits: 75.21
Top 18  hits: 75.96
Top 19  hits: 76.48
Top 20  hits: 77.09
Top 21  hits: 77.73
Top 22  hits: 78.20
Top 23  hits: 78.61
Top 24  hits: 78.78
Top 25  hits: 79.22
Top 26  hits: 79.61
Top 27  hits: 79.92
Top 28  hits: 80.17
Top 29  hits: 80.69
Top 30  hits: 80.97
Top 31  hits: 81.14
Top 32  hits: 81.47
Top 33  hits: 81.72
Top 34  hits: 81.94
Top 35  hits: 82.24
Top 36  hits: 82.41
Top 37  hits: 82.60
Top 38  hits: 82.80
Top 39  hits: 82.96
Top 40  hits: 83.13
Top 41  hits: 83.43
Top 42  hits: 83.66
Top 43  hits: 83.91
Top 44  hits: 84.10
Top 45  hits: 84.21
Top 46  hits: 84.38
Top 47  hits: 84.52
Top 48  hits: 84.76
Top 49  hits: 84.88
Top 50  hits: 84.96
Top 51  hits: 85.15
Top 52  hits: 85.24
Top 53  hits: 85.37
Top 54  hits: 85.43
Top 55  hits: 85.60
Top 56  hits: 85.65
Top 57  hits: 85.73
Top 58  hits: 85.79
Top 59  hits: 85.82
Top 60  hits: 85.96
Top 61  hits: 86.04
Top 62  hits: 86.20
Top 63  hits: 86.37
Top 64  hits: 86.45
Top 65  hits: 86.48
Top 66  hits: 86.54
Top 67  hits: 86.59
Top 68  hits: 86.65
Top 69  hits: 86.70
Top 70  hits: 86.73
Top 71  hits: 86.81
Top 72  hits: 86.87
Top 73  hits: 86.98
Top 74  hits: 87.04
Top 75  hits: 87.09
Top 76  hits: 87.12
Top 77  hits: 87.26
Top 78  hits: 87.34
Top 79  hits: 87.45
Top 80  hits: 87.45
Top 81  hits: 87.53
Top 82  hits: 87.59
Top 83  hits: 87.65
Top 84  hits: 87.70
Top 85  hits: 87.76
Top 86  hits: 87.84
Top 87  hits: 87.95
Top 88  hits: 88.01
Top 89  hits: 88.06
Top 90  hits: 88.17
Top 91  hits: 88.25
Top 92  hits: 88.31
Top 93  hits: 88.34
Top 94  hits: 88.45
Top 95  hits: 88.45
Top 96  hits: 88.45
Top 97  hits: 88.50
Top 98  hits: 88.59
Top 99  hits: 88.61
Top 100 hits: 88.67
