Top 1   hits: 30.47
Top 2   hits: 39.78
Top 3   hits: 45.29
Top 4   hits: 50.03
Top 5   hits: 52.85
Top 6   hits: 54.68
Top 7   hits: 56.34
Top 8   hits: 58.06
Top 9   hits: 59.42
Top 10  hits: 60.25
Top 11  hits: 61.55
Top 12  hits: 62.44
Top 13  hits: 63.05
Top 14  hits: 63.68
Top 15  hits: 64.32
Top 16  hits: 64.93
Top 17  hits: 65.29
Top 18  hits: 65.84
Top 19  hits: 66.34
Top 20  hits: 66.73
Top 21  hits: 67.20
Top 22  hits: 67.70
Top 23  hits: 68.01
Top 24  hits: 68.37
Top 25  hits: 68.81
Top 26  hits: 69.09
Top 27  hits: 69.34
Top 28  hits: 69.53
Top 29  hits: 69.89
Top 30  hits: 70.08
Top 31  hits: 70.22
Top 32  hits: 70.47
Top 33  hits: 70.64
Top 34  hits: 70.75
Top 35  hits: 70.91
Top 36  hits: 71.19
Top 37  hits: 71.52
Top 38  hits: 71.66
Top 39  hits: 71.88
Top 40  hits: 71.99
Top 41  hits: 72.16
Top 42  hits: 72.24
Top 43  hits: 72.41
Top 44  hits: 72.58
Top 45  hits: 72.66
Top 46  hits: 72.69
Top 47  hits: 72.88
Top 48  hits: 72.94
Top 49  hits: 73.05
Top 50  hits: 73.21
Top 51  hits: 73.46
Top 52  hits: 73.57
Top 53  hits: 73.71
Top 54  hits: 73.80
Top 55  hits: 73.88
Top 56  hits: 73.99
Top 57  hits: 74.10
Top 58  hits: 74.16
Top 59  hits: 74.24
Top 60  hits: 74.32
Top 61  hits: 74.46
Top 62  hits: 74.46
Top 63  hits: 74.52
Top 64  hits: 74.57
Top 65  hits: 74.63
Top 66  hits: 74.71
Top 67  hits: 74.82
Top 68  hits: 74.90
Top 69  hits: 74.99
Top 70  hits: 75.04
Top 71  hits: 75.26
Top 72  hits: 75.29
Top 73  hits: 75.40
Top 74  hits: 75.46
Top 75  hits: 75.51
Top 76  hits: 75.54
Top 77  hits: 75.60
Top 78  hits: 75.71
Top 79  hits: 75.71
Top 80  hits: 75.79
Top 81  hits: 75.82
Top 82  hits: 75.90
Top 83  hits: 75.90
Top 84  hits: 76.01
Top 85  hits: 76.04
Top 86  hits: 76.12
Top 87  hits: 76.20
Top 88  hits: 76.32
Top 89  hits: 76.43
Top 90  hits: 76.48
Top 91  hits: 76.51
Top 92  hits: 76.57
Top 93  hits: 76.70
Top 94  hits: 76.79
Top 95  hits: 76.79
Top 96  hits: 76.90
Top 97  hits: 76.93
Top 98  hits: 76.98
Top 99  hits: 77.04
Top 100 hits: 77.12
