top_1_hits	: 52.47
top_2_hits	: 61.66
top_3_hits	: 67.06
top_4_hits	: 69.97
top_5_hits	: 72.24
top_6_hits	: 73.82
top_7_hits	: 75.24
top_8_hits	: 76.12
top_9_hits	: 76.76
top_10_hits	: 77.70
top_11_hits	: 78.28
top_12_hits	: 78.81
top_13_hits	: 79.09
top_14_hits	: 79.56
top_15_hits	: 79.86
top_16_hits	: 80.39
top_17_hits	: 80.64
top_18_hits	: 80.94
top_19_hits	: 81.19
top_20_hits	: 81.33
top_21_hits	: 81.55
top_22_hits	: 81.86
top_23_hits	: 81.99
top_24_hits	: 82.24
top_25_hits	: 82.38
top_26_hits	: 82.55
top_27_hits	: 82.83
top_28_hits	: 82.91
top_29_hits	: 82.94
top_30_hits	: 83.05
top_31_hits	: 83.24
top_32_hits	: 83.46
top_33_hits	: 83.57
top_34_hits	: 83.68
top_35_hits	: 83.80
top_36_hits	: 84.07
top_37_hits	: 84.21
top_38_hits	: 84.43
top_39_hits	: 84.52
top_40_hits	: 84.57
top_41_hits	: 84.68
top_42_hits	: 84.79
top_43_hits	: 84.88
top_44_hits	: 85.04
top_45_hits	: 85.10
top_46_hits	: 85.10
top_47_hits	: 85.18
top_48_hits	: 85.24
top_49_hits	: 85.35
top_50_hits	: 85.46
top_51_hits	: 85.48
top_52_hits	: 85.48
top_53_hits	: 85.57
top_54_hits	: 85.60
top_55_hits	: 85.71
top_56_hits	: 85.76
top_57_hits	: 85.79
top_58_hits	: 85.79
top_59_hits	: 85.82
top_60_hits	: 85.87
top_61_hits	: 85.90
top_62_hits	: 85.93
top_63_hits	: 85.96
top_64_hits	: 86.07
top_65_hits	: 86.09
top_66_hits	: 86.18
top_67_hits	: 86.20
top_68_hits	: 86.23
top_69_hits	: 86.32
top_70_hits	: 86.34
top_71_hits	: 86.34
top_72_hits	: 86.40
top_73_hits	: 86.48
top_74_hits	: 86.48
top_75_hits	: 86.48
top_76_hits	: 86.51
top_77_hits	: 86.57
top_78_hits	: 86.59
top_79_hits	: 86.65
top_80_hits	: 86.68
top_81_hits	: 86.70
top_82_hits	: 86.76
top_83_hits	: 86.79
top_84_hits	: 86.79
top_85_hits	: 86.87
top_86_hits	: 86.95
top_87_hits	: 86.98
top_88_hits	: 86.98
top_89_hits	: 87.01
top_90_hits	: 87.01
top_91_hits	: 87.01
top_92_hits	: 87.01
top_93_hits	: 87.09
top_94_hits	: 87.12
top_95_hits	: 87.15
top_96_hits	: 87.15
top_97_hits	: 87.15
top_98_hits	: 87.15
top_99_hits	: 87.29
top_100_hits	: 87.29
