Top 1   hits: 53.80
Top 2   hits: 63.49
Top 3   hits: 69.31
Top 4   hits: 72.47
Top 5   hits: 74.85
Top 6   hits: 76.76
Top 7   hits: 78.31
Top 8   hits: 79.25
Top 9   hits: 80.03
Top 10  hits: 81.08
Top 11  hits: 81.83
Top 12  hits: 82.38
Top 13  hits: 82.69
Top 14  hits: 83.19
Top 15  hits: 83.66
Top 16  hits: 84.21
Top 17  hits: 84.63
Top 18  hits: 85.01
Top 19  hits: 85.32
Top 20  hits: 85.51
Top 21  hits: 85.79
Top 22  hits: 85.98
Top 23  hits: 86.26
Top 24  hits: 86.51
Top 25  hits: 86.70
Top 26  hits: 86.90
Top 27  hits: 87.15
Top 28  hits: 87.31
Top 29  hits: 87.40
Top 30  hits: 87.59
Top 31  hits: 87.78
Top 32  hits: 87.98
Top 33  hits: 88.25
Top 34  hits: 88.34
Top 35  hits: 88.45
Top 36  hits: 88.67
Top 37  hits: 88.89
Top 38  hits: 89.00
Top 39  hits: 89.14
Top 40  hits: 89.17
Top 41  hits: 89.36
Top 42  hits: 89.47
Top 43  hits: 89.53
Top 44  hits: 89.72
Top 45  hits: 89.81
Top 46  hits: 89.86
Top 47  hits: 89.94
Top 48  hits: 90.06
Top 49  hits: 90.11
Top 50  hits: 90.19
Top 51  hits: 90.25
Top 52  hits: 90.25
Top 53  hits: 90.36
Top 54  hits: 90.42
Top 55  hits: 90.53
Top 56  hits: 90.55
Top 57  hits: 90.61
Top 58  hits: 90.69
Top 59  hits: 90.69
Top 60  hits: 90.72
Top 61  hits: 90.86
Top 62  hits: 90.91
Top 63  hits: 90.91
Top 64  hits: 91.00
Top 65  hits: 91.08
Top 66  hits: 91.11
Top 67  hits: 91.14
Top 68  hits: 91.22
Top 69  hits: 91.27
Top 70  hits: 91.36
Top 71  hits: 91.50
Top 72  hits: 91.55
Top 73  hits: 91.58
Top 74  hits: 91.63
Top 75  hits: 91.63
Top 76  hits: 91.66
Top 77  hits: 91.69
Top 78  hits: 91.69
Top 79  hits: 91.77
Top 80  hits: 91.80
Top 81  hits: 91.86
Top 82  hits: 91.86
Top 83  hits: 91.88
Top 84  hits: 92.02
Top 85  hits: 92.11
Top 86  hits: 92.13
Top 87  hits: 92.16
Top 88  hits: 92.19
Top 89  hits: 92.22
Top 90  hits: 92.22
Top 91  hits: 92.22
Top 92  hits: 92.27
Top 93  hits: 92.30
Top 94  hits: 92.35
Top 95  hits: 92.35
Top 96  hits: 92.41
Top 97  hits: 92.47
Top 98  hits: 92.55
Top 99  hits: 92.63
Top 100 hits: 92.63
