Top 1   hits: 43.46
Top 2   hits: 54.74
Top 3   hits: 61.50
Top 4   hits: 66.29
Top 5   hits: 68.86
Top 6   hits: 71.44
Top 7   hits: 73.77
Top 8   hits: 75.73
Top 9   hits: 77.09
Top 10  hits: 78.61
Top 11  hits: 79.50
Top 12  hits: 80.69
Top 13  hits: 81.30
Top 14  hits: 81.99
Top 15  hits: 82.85
Top 16  hits: 83.16
Top 17  hits: 83.74
Top 18  hits: 84.38
Top 19  hits: 84.96
Top 20  hits: 85.29
Top 21  hits: 85.90
Top 22  hits: 86.29
Top 23  hits: 86.59
Top 24  hits: 86.76
Top 25  hits: 86.98
Top 26  hits: 87.23
Top 27  hits: 87.42
Top 28  hits: 87.76
Top 29  hits: 87.98
Top 30  hits: 88.09
Top 31  hits: 88.20
Top 32  hits: 88.39
Top 33  hits: 88.53
Top 34  hits: 88.67
Top 35  hits: 88.78
Top 36  hits: 89.06
Top 37  hits: 89.09
Top 38  hits: 89.17
Top 39  hits: 89.34
Top 40  hits: 89.61
Top 41  hits: 89.81
Top 42  hits: 89.89
Top 43  hits: 90.03
Top 44  hits: 90.14
Top 45  hits: 90.36
Top 46  hits: 90.39
Top 47  hits: 90.47
Top 48  hits: 90.64
Top 49  hits: 90.66
Top 50  hits: 90.69
Top 51  hits: 90.83
Top 52  hits: 90.97
Top 53  hits: 91.08
Top 54  hits: 91.22
Top 55  hits: 91.33
Top 56  hits: 91.44
Top 57  hits: 91.61
Top 58  hits: 91.69
Top 59  hits: 91.83
Top 60  hits: 91.88
Top 61  hits: 91.88
Top 62  hits: 91.94
Top 63  hits: 92.05
Top 64  hits: 92.11
Top 65  hits: 92.16
Top 66  hits: 92.16
Top 67  hits: 92.30
Top 68  hits: 92.35
Top 69  hits: 92.44
Top 70  hits: 92.49
Top 71  hits: 92.60
Top 72  hits: 92.66
Top 73  hits: 92.77
Top 74  hits: 92.91
Top 75  hits: 92.99
Top 76  hits: 92.99
Top 77  hits: 93.13
Top 78  hits: 93.30
Top 79  hits: 93.35
Top 80  hits: 93.43
Top 81  hits: 93.55
Top 82  hits: 93.57
Top 83  hits: 93.57
Top 84  hits: 93.57
Top 85  hits: 93.66
Top 86  hits: 93.66
Top 87  hits: 93.74
Top 88  hits: 93.74
Top 89  hits: 93.80
Top 90  hits: 93.82
Top 91  hits: 93.82
Top 92  hits: 93.85
Top 93  hits: 93.96
Top 94  hits: 94.04
Top 95  hits: 94.07
Top 96  hits: 94.07
Top 97  hits: 94.13
Top 98  hits: 94.13
Top 99  hits: 94.16
Top 100 hits: 94.16
