Top 1   hits: 41.50
Top 2   hits: 54.16
Top 3   hits: 61.25
Top 4   hits: 66.04
Top 5   hits: 69.17
Top 6   hits: 71.91
Top 7   hits: 73.57
Top 8   hits: 75.32
Top 9   hits: 76.40
Top 10  hits: 77.76
Top 11  hits: 79.22
Top 12  hits: 80.00
Top 13  hits: 80.75
Top 14  hits: 81.58
Top 15  hits: 82.38
Top 16  hits: 82.99
Top 17  hits: 83.43
Top 18  hits: 83.91
Top 19  hits: 84.40
Top 20  hits: 84.85
Top 21  hits: 85.10
Top 22  hits: 85.54
Top 23  hits: 85.73
Top 24  hits: 86.07
Top 25  hits: 86.54
Top 26  hits: 86.76
Top 27  hits: 86.98
Top 28  hits: 87.20
Top 29  hits: 87.42
Top 30  hits: 87.67
Top 31  hits: 87.92
Top 32  hits: 88.23
Top 33  hits: 88.42
Top 34  hits: 88.56
Top 35  hits: 88.89
Top 36  hits: 89.09
Top 37  hits: 89.28
Top 38  hits: 89.39
Top 39  hits: 89.70
Top 40  hits: 89.75
Top 41  hits: 89.81
Top 42  hits: 90.08
Top 43  hits: 90.19
Top 44  hits: 90.25
Top 45  hits: 90.42
Top 46  hits: 90.61
Top 47  hits: 90.75
Top 48  hits: 90.91
Top 49  hits: 90.97
Top 50  hits: 91.11
Top 51  hits: 91.30
Top 52  hits: 91.36
Top 53  hits: 91.50
Top 54  hits: 91.63
Top 55  hits: 91.66
Top 56  hits: 91.75
Top 57  hits: 91.83
Top 58  hits: 91.99
Top 59  hits: 92.05
Top 60  hits: 92.08
Top 61  hits: 92.16
Top 62  hits: 92.24
Top 63  hits: 92.24
Top 64  hits: 92.38
Top 65  hits: 92.44
Top 66  hits: 92.44
Top 67  hits: 92.58
Top 68  hits: 92.58
Top 69  hits: 92.58
Top 70  hits: 92.63
Top 71  hits: 92.74
Top 72  hits: 92.80
Top 73  hits: 92.83
Top 74  hits: 92.85
Top 75  hits: 92.94
Top 76  hits: 93.02
Top 77  hits: 93.07
Top 78  hits: 93.16
Top 79  hits: 93.24
Top 80  hits: 93.24
Top 81  hits: 93.35
Top 82  hits: 93.38
Top 83  hits: 93.43
Top 84  hits: 93.43
Top 85  hits: 93.49
Top 86  hits: 93.52
Top 87  hits: 93.55
Top 88  hits: 93.57
Top 89  hits: 93.60
Top 90  hits: 93.71
Top 91  hits: 93.74
Top 92  hits: 93.85
Top 93  hits: 93.88
Top 94  hits: 93.88
Top 95  hits: 93.88
Top 96  hits: 93.88
Top 97  hits: 93.91
Top 98  hits: 93.91
Top 99  hits: 93.96
Top 100 hits: 93.99
