Top 1   hits: 35.04
Top 2   hits: 46.93
Top 3   hits: 54.52
Top 4   hits: 59.67
Top 5   hits: 63.93
Top 6   hits: 67.31
Top 7   hits: 69.81
Top 8   hits: 71.63
Top 9   hits: 72.94
Top 10  hits: 74.32
Top 11  hits: 75.71
Top 12  hits: 76.87
Top 13  hits: 78.01
Top 14  hits: 78.64
Top 15  hits: 79.39
Top 16  hits: 79.92
Top 17  hits: 80.55
Top 18  hits: 81.36
Top 19  hits: 81.86
Top 20  hits: 82.38
Top 21  hits: 82.69
Top 22  hits: 83.19
Top 23  hits: 83.57
Top 24  hits: 84.02
Top 25  hits: 84.40
Top 26  hits: 84.60
Top 27  hits: 84.88
Top 28  hits: 85.07
Top 29  hits: 85.24
Top 30  hits: 85.51
Top 31  hits: 85.82
Top 32  hits: 86.09
Top 33  hits: 86.51
Top 34  hits: 86.79
Top 35  hits: 87.09
Top 36  hits: 87.31
Top 37  hits: 87.48
Top 38  hits: 87.70
Top 39  hits: 87.81
Top 40  hits: 87.87
Top 41  hits: 88.03
Top 42  hits: 88.09
Top 43  hits: 88.28
Top 44  hits: 88.45
Top 45  hits: 88.53
Top 46  hits: 88.73
Top 47  hits: 88.84
Top 48  hits: 88.98
Top 49  hits: 89.14
Top 50  hits: 89.20
Top 51  hits: 89.36
Top 52  hits: 89.47
Top 53  hits: 89.58
Top 54  hits: 89.64
Top 55  hits: 89.78
Top 56  hits: 89.81
Top 57  hits: 89.83
Top 58  hits: 90.03
Top 59  hits: 90.06
Top 60  hits: 90.17
Top 61  hits: 90.22
Top 62  hits: 90.33
Top 63  hits: 90.36
Top 64  hits: 90.55
Top 65  hits: 90.55
Top 66  hits: 90.61
Top 67  hits: 90.75
Top 68  hits: 90.80
Top 69  hits: 90.80
Top 70  hits: 90.86
Top 71  hits: 90.91
Top 72  hits: 91.05
Top 73  hits: 91.05
Top 74  hits: 91.16
Top 75  hits: 91.33
Top 76  hits: 91.39
Top 77  hits: 91.39
Top 78  hits: 91.50
Top 79  hits: 91.52
Top 80  hits: 91.61
Top 81  hits: 91.61
Top 82  hits: 91.66
Top 83  hits: 91.72
Top 84  hits: 91.83
Top 85  hits: 91.86
Top 86  hits: 91.86
Top 87  hits: 91.91
Top 88  hits: 91.91
Top 89  hits: 91.91
Top 90  hits: 91.99
Top 91  hits: 92.05
Top 92  hits: 92.08
Top 93  hits: 92.08
Top 94  hits: 92.08
Top 95  hits: 92.16
Top 96  hits: 92.19
Top 97  hits: 92.19
Top 98  hits: 92.22
Top 99  hits: 92.24
Top 100 hits: 92.35
