Top 1   hits: 37.48
Top 2   hits: 49.50
Top 3   hits: 57.40
Top 4   hits: 61.91
Top 5   hits: 65.43
Top 6   hits: 68.45
Top 7   hits: 70.39
Top 8   hits: 72.11
Top 9   hits: 73.80
Top 10  hits: 75.32
Top 11  hits: 76.68
Top 12  hits: 78.06
Top 13  hits: 78.75
Top 14  hits: 79.56
Top 15  hits: 80.28
Top 16  hits: 80.86
Top 17  hits: 81.50
Top 18  hits: 82.27
Top 19  hits: 82.74
Top 20  hits: 83.21
Top 21  hits: 83.82
Top 22  hits: 84.16
Top 23  hits: 84.49
Top 24  hits: 84.82
Top 25  hits: 85.12
Top 26  hits: 85.46
Top 27  hits: 85.76
Top 28  hits: 85.96
Top 29  hits: 86.32
Top 30  hits: 86.51
Top 31  hits: 86.70
Top 32  hits: 86.95
Top 33  hits: 87.20
Top 34  hits: 87.29
Top 35  hits: 87.51
Top 36  hits: 87.76
Top 37  hits: 87.89
Top 38  hits: 87.98
Top 39  hits: 88.23
Top 40  hits: 88.45
Top 41  hits: 88.56
Top 42  hits: 88.73
Top 43  hits: 88.92
Top 44  hits: 88.95
Top 45  hits: 89.00
Top 46  hits: 89.06
Top 47  hits: 89.06
Top 48  hits: 89.25
Top 49  hits: 89.42
Top 50  hits: 89.53
Top 51  hits: 89.64
Top 52  hits: 89.78
Top 53  hits: 89.92
Top 54  hits: 90.00
Top 55  hits: 90.06
Top 56  hits: 90.19
Top 57  hits: 90.25
Top 58  hits: 90.36
Top 59  hits: 90.42
Top 60  hits: 90.50
Top 61  hits: 90.66
Top 62  hits: 90.72
Top 63  hits: 90.80
Top 64  hits: 90.80
Top 65  hits: 90.89
Top 66  hits: 90.94
Top 67  hits: 91.00
Top 68  hits: 91.14
Top 69  hits: 91.16
Top 70  hits: 91.16
Top 71  hits: 91.25
Top 72  hits: 91.33
Top 73  hits: 91.41
Top 74  hits: 91.50
Top 75  hits: 91.52
Top 76  hits: 91.55
Top 77  hits: 91.61
Top 78  hits: 91.61
Top 79  hits: 91.66
Top 80  hits: 91.69
Top 81  hits: 91.83
Top 82  hits: 91.86
Top 83  hits: 91.94
Top 84  hits: 91.99
Top 85  hits: 92.05
Top 86  hits: 92.05
Top 87  hits: 92.16
Top 88  hits: 92.22
Top 89  hits: 92.24
Top 90  hits: 92.30
Top 91  hits: 92.35
Top 92  hits: 92.35
Top 93  hits: 92.38
Top 94  hits: 92.47
Top 95  hits: 92.55
Top 96  hits: 92.60
Top 97  hits: 92.60
Top 98  hits: 92.63
Top 99  hits: 92.69
Top 100 hits: 92.74
