Top 1   hits: 38.86
Top 2   hits: 49.22
Top 3   hits: 54.68
Top 4   hits: 58.50
Top 5   hits: 60.83
Top 6   hits: 63.71
Top 7   hits: 65.43
Top 8   hits: 66.87
Top 9   hits: 68.20
Top 10  hits: 69.28
Top 11  hits: 70.53
Top 12  hits: 71.63
Top 13  hits: 72.41
Top 14  hits: 72.83
Top 15  hits: 73.63
Top 16  hits: 74.27
Top 17  hits: 74.54
Top 18  hits: 75.07
Top 19  hits: 75.35
Top 20  hits: 75.84
Top 21  hits: 76.20
Top 22  hits: 76.48
Top 23  hits: 76.73
Top 24  hits: 77.17
Top 25  hits: 77.56
Top 26  hits: 77.87
Top 27  hits: 78.12
Top 28  hits: 78.45
Top 29  hits: 78.84
Top 30  hits: 79.09
Top 31  hits: 79.36
Top 32  hits: 79.53
Top 33  hits: 79.70
Top 34  hits: 79.83
Top 35  hits: 80.06
Top 36  hits: 80.28
Top 37  hits: 80.33
Top 38  hits: 80.61
Top 39  hits: 80.78
Top 40  hits: 80.86
Top 41  hits: 81.08
Top 42  hits: 81.22
Top 43  hits: 81.27
Top 44  hits: 81.47
Top 45  hits: 81.61
Top 46  hits: 81.83
Top 47  hits: 81.91
Top 48  hits: 81.99
Top 49  hits: 82.08
Top 50  hits: 82.27
Top 51  hits: 82.41
Top 52  hits: 82.52
Top 53  hits: 82.69
Top 54  hits: 82.83
Top 55  hits: 82.94
Top 56  hits: 83.07
Top 57  hits: 83.19
Top 58  hits: 83.24
Top 59  hits: 83.38
Top 60  hits: 83.43
Top 61  hits: 83.49
Top 62  hits: 83.55
Top 63  hits: 83.68
Top 64  hits: 83.80
Top 65  hits: 83.88
Top 66  hits: 83.96
Top 67  hits: 84.21
Top 68  hits: 84.32
Top 69  hits: 84.40
Top 70  hits: 84.57
Top 71  hits: 84.63
Top 72  hits: 84.68
Top 73  hits: 84.76
Top 74  hits: 84.88
Top 75  hits: 84.90
Top 76  hits: 84.96
Top 77  hits: 84.99
Top 78  hits: 85.04
Top 79  hits: 85.10
Top 80  hits: 85.18
Top 81  hits: 85.24
Top 82  hits: 85.32
Top 83  hits: 85.37
Top 84  hits: 85.43
Top 85  hits: 85.48
Top 86  hits: 85.51
Top 87  hits: 85.54
Top 88  hits: 85.57
Top 89  hits: 85.62
Top 90  hits: 85.73
Top 91  hits: 85.76
Top 92  hits: 85.79
Top 93  hits: 85.82
Top 94  hits: 85.87
Top 95  hits: 85.93
Top 96  hits: 85.96
Top 97  hits: 85.98
Top 98  hits: 85.98
Top 99  hits: 86.07
Top 100 hits: 86.09
