Top 1   hits: 35.96
Top 2   hits: 48.28
Top 3   hits: 54.43
Top 4   hits: 58.86
Top 5   hits: 61.99
Top 6   hits: 64.71
Top 7   hits: 66.95
Top 8   hits: 68.59
Top 9   hits: 70.19
Top 10  hits: 71.75
Top 11  hits: 72.71
Top 12  hits: 73.71
Top 13  hits: 74.63
Top 14  hits: 75.24
Top 15  hits: 75.87
Top 16  hits: 76.62
Top 17  hits: 77.26
Top 18  hits: 77.76
Top 19  hits: 78.31
Top 20  hits: 78.95
Top 21  hits: 79.45
Top 22  hits: 79.83
Top 23  hits: 80.42
Top 24  hits: 80.89
Top 25  hits: 81.27
Top 26  hits: 81.58
Top 27  hits: 81.80
Top 28  hits: 81.97
Top 29  hits: 82.19
Top 30  hits: 82.49
Top 31  hits: 82.71
Top 32  hits: 82.91
Top 33  hits: 83.35
Top 34  hits: 83.68
Top 35  hits: 83.91
Top 36  hits: 84.18
Top 37  hits: 84.49
Top 38  hits: 84.74
Top 39  hits: 84.90
Top 40  hits: 85.07
Top 41  hits: 85.15
Top 42  hits: 85.35
Top 43  hits: 85.48
Top 44  hits: 85.60
Top 45  hits: 85.84
Top 46  hits: 85.98
Top 47  hits: 86.18
Top 48  hits: 86.23
Top 49  hits: 86.29
Top 50  hits: 86.43
Top 51  hits: 86.51
Top 52  hits: 86.68
Top 53  hits: 86.81
Top 54  hits: 86.95
Top 55  hits: 87.06
Top 56  hits: 87.15
Top 57  hits: 87.26
Top 58  hits: 87.34
Top 59  hits: 87.42
Top 60  hits: 87.48
Top 61  hits: 87.62
Top 62  hits: 87.78
Top 63  hits: 87.84
Top 64  hits: 87.98
Top 65  hits: 88.06
Top 66  hits: 88.14
Top 67  hits: 88.25
Top 68  hits: 88.37
Top 69  hits: 88.42
Top 70  hits: 88.42
Top 71  hits: 88.45
Top 72  hits: 88.53
Top 73  hits: 88.56
Top 74  hits: 88.67
Top 75  hits: 88.70
Top 76  hits: 88.73
Top 77  hits: 88.81
Top 78  hits: 88.86
Top 79  hits: 88.92
Top 80  hits: 89.03
Top 81  hits: 89.09
Top 82  hits: 89.14
Top 83  hits: 89.25
Top 84  hits: 89.25
Top 85  hits: 89.31
Top 86  hits: 89.34
Top 87  hits: 89.34
Top 88  hits: 89.36
Top 89  hits: 89.39
Top 90  hits: 89.50
Top 91  hits: 89.61
Top 92  hits: 89.64
Top 93  hits: 89.72
Top 94  hits: 89.75
Top 95  hits: 89.78
Top 96  hits: 89.83
Top 97  hits: 89.89
Top 98  hits: 89.92
Top 99  hits: 89.97
Top 100 hits: 90.03
