Top 1   hits: 41.58
Top 2   hits: 54.27
Top 3   hits: 61.47
Top 4   hits: 66.37
Top 5   hits: 69.25
Top 6   hits: 71.72
Top 7   hits: 73.82
Top 8   hits: 75.54
Top 9   hits: 76.76
Top 10  hits: 78.09
Top 11  hits: 79.31
Top 12  hits: 80.14
Top 13  hits: 81.11
Top 14  hits: 82.19
Top 15  hits: 82.69
Top 16  hits: 83.66
Top 17  hits: 84.27
Top 18  hits: 84.71
Top 19  hits: 85.12
Top 20  hits: 85.43
Top 21  hits: 85.79
Top 22  hits: 86.07
Top 23  hits: 86.43
Top 24  hits: 86.73
Top 25  hits: 86.95
Top 26  hits: 87.12
Top 27  hits: 87.40
Top 28  hits: 87.59
Top 29  hits: 87.76
Top 30  hits: 88.14
Top 31  hits: 88.20
Top 32  hits: 88.42
Top 33  hits: 88.48
Top 34  hits: 88.53
Top 35  hits: 88.75
Top 36  hits: 88.78
Top 37  hits: 89.03
Top 38  hits: 89.17
Top 39  hits: 89.31
Top 40  hits: 89.50
Top 41  hits: 89.56
Top 42  hits: 89.81
Top 43  hits: 89.92
Top 44  hits: 89.97
Top 45  hits: 90.06
Top 46  hits: 90.14
Top 47  hits: 90.25
Top 48  hits: 90.36
Top 49  hits: 90.44
Top 50  hits: 90.53
Top 51  hits: 90.61
Top 52  hits: 90.75
Top 53  hits: 90.94
Top 54  hits: 91.02
Top 55  hits: 91.05
Top 56  hits: 91.14
Top 57  hits: 91.25
Top 58  hits: 91.41
Top 59  hits: 91.52
Top 60  hits: 91.66
Top 61  hits: 91.66
Top 62  hits: 91.83
Top 63  hits: 92.02
Top 64  hits: 92.13
Top 65  hits: 92.13
Top 66  hits: 92.16
Top 67  hits: 92.24
Top 68  hits: 92.30
Top 69  hits: 92.33
Top 70  hits: 92.41
Top 71  hits: 92.47
Top 72  hits: 92.55
Top 73  hits: 92.63
Top 74  hits: 92.66
Top 75  hits: 92.71
Top 76  hits: 92.80
Top 77  hits: 92.85
Top 78  hits: 92.94
Top 79  hits: 92.96
Top 80  hits: 92.99
Top 81  hits: 93.07
Top 82  hits: 93.07
Top 83  hits: 93.19
Top 84  hits: 93.19
Top 85  hits: 93.24
Top 86  hits: 93.30
Top 87  hits: 93.38
Top 88  hits: 93.46
Top 89  hits: 93.49
Top 90  hits: 93.60
Top 91  hits: 93.63
Top 92  hits: 93.63
Top 93  hits: 93.66
Top 94  hits: 93.71
Top 95  hits: 93.74
Top 96  hits: 93.80
Top 97  hits: 93.80
Top 98  hits: 93.82
Top 99  hits: 93.82
Top 100 hits: 93.96
