Top 1   hits: 42.60
Top 2   hits: 55.10
Top 3   hits: 61.75
Top 4   hits: 66.70
Top 5   hits: 69.64
Top 6   hits: 72.24
Top 7   hits: 74.13
Top 8   hits: 75.98
Top 9   hits: 77.20
Top 10  hits: 78.42
Top 11  hits: 79.53
Top 12  hits: 80.25
Top 13  hits: 80.94
Top 14  hits: 81.61
Top 15  hits: 82.49
Top 16  hits: 83.32
Top 17  hits: 83.85
Top 18  hits: 84.43
Top 19  hits: 84.96
Top 20  hits: 85.40
Top 21  hits: 85.65
Top 22  hits: 85.98
Top 23  hits: 86.45
Top 24  hits: 86.65
Top 25  hits: 86.90
Top 26  hits: 87.15
Top 27  hits: 87.37
Top 28  hits: 87.59
Top 29  hits: 87.73
Top 30  hits: 88.03
Top 31  hits: 88.25
Top 32  hits: 88.56
Top 33  hits: 88.67
Top 34  hits: 88.81
Top 35  hits: 89.03
Top 36  hits: 89.25
Top 37  hits: 89.28
Top 38  hits: 89.47
Top 39  hits: 89.64
Top 40  hits: 89.83
Top 41  hits: 89.89
Top 42  hits: 90.14
Top 43  hits: 90.22
Top 44  hits: 90.22
Top 45  hits: 90.25
Top 46  hits: 90.28
Top 47  hits: 90.39
Top 48  hits: 90.58
Top 49  hits: 90.75
Top 50  hits: 90.78
Top 51  hits: 90.94
Top 52  hits: 90.97
Top 53  hits: 91.02
Top 54  hits: 91.05
Top 55  hits: 91.16
Top 56  hits: 91.33
Top 57  hits: 91.33
Top 58  hits: 91.52
Top 59  hits: 91.66
Top 60  hits: 91.69
Top 61  hits: 91.80
Top 62  hits: 91.88
Top 63  hits: 91.99
Top 64  hits: 92.05
Top 65  hits: 92.08
Top 66  hits: 92.16
Top 67  hits: 92.19
Top 68  hits: 92.22
Top 69  hits: 92.30
Top 70  hits: 92.35
Top 71  hits: 92.38
Top 72  hits: 92.38
Top 73  hits: 92.44
Top 74  hits: 92.47
Top 75  hits: 92.49
Top 76  hits: 92.52
Top 77  hits: 92.55
Top 78  hits: 92.58
Top 79  hits: 92.60
Top 80  hits: 92.63
Top 81  hits: 92.66
Top 82  hits: 92.71
Top 83  hits: 92.74
Top 84  hits: 92.77
Top 85  hits: 92.80
Top 86  hits: 92.85
Top 87  hits: 92.91
Top 88  hits: 92.96
Top 89  hits: 92.96
Top 90  hits: 93.05
Top 91  hits: 93.07
Top 92  hits: 93.13
Top 93  hits: 93.16
Top 94  hits: 93.21
Top 95  hits: 93.27
Top 96  hits: 93.30
Top 97  hits: 93.32
Top 98  hits: 93.35
Top 99  hits: 93.41
Top 100 hits: 93.43
