Top 1   hits: 33.77
Top 2   hits: 46.45
Top 3   hits: 53.85
Top 4   hits: 58.81
Top 5   hits: 62.91
Top 6   hits: 65.46
Top 7   hits: 68.06
Top 8   hits: 69.81
Top 9   hits: 71.30
Top 10  hits: 72.80
Top 11  hits: 74.16
Top 12  hits: 75.07
Top 13  hits: 76.07
Top 14  hits: 77.15
Top 15  hits: 77.92
Top 16  hits: 78.81
Top 17  hits: 79.61
Top 18  hits: 80.03
Top 19  hits: 80.66
Top 20  hits: 81.19
Top 21  hits: 81.63
Top 22  hits: 82.05
Top 23  hits: 82.41
Top 24  hits: 82.74
Top 25  hits: 83.13
Top 26  hits: 83.57
Top 27  hits: 83.85
Top 28  hits: 84.04
Top 29  hits: 84.40
Top 30  hits: 84.60
Top 31  hits: 84.85
Top 32  hits: 85.10
Top 33  hits: 85.26
Top 34  hits: 85.40
Top 35  hits: 85.71
Top 36  hits: 85.96
Top 37  hits: 86.01
Top 38  hits: 86.32
Top 39  hits: 86.59
Top 40  hits: 86.84
Top 41  hits: 87.01
Top 42  hits: 87.17
Top 43  hits: 87.37
Top 44  hits: 87.48
Top 45  hits: 87.78
Top 46  hits: 87.95
Top 47  hits: 88.17
Top 48  hits: 88.25
Top 49  hits: 88.37
Top 50  hits: 88.42
Top 51  hits: 88.45
Top 52  hits: 88.50
Top 53  hits: 88.67
Top 54  hits: 88.67
Top 55  hits: 88.70
Top 56  hits: 88.95
Top 57  hits: 89.09
Top 58  hits: 89.17
Top 59  hits: 89.31
Top 60  hits: 89.39
Top 61  hits: 89.53
Top 62  hits: 89.61
Top 63  hits: 89.61
Top 64  hits: 89.67
Top 65  hits: 89.72
Top 66  hits: 89.86
Top 67  hits: 89.89
Top 68  hits: 89.97
Top 69  hits: 90.11
Top 70  hits: 90.14
Top 71  hits: 90.17
Top 72  hits: 90.17
Top 73  hits: 90.19
Top 74  hits: 90.22
Top 75  hits: 90.33
Top 76  hits: 90.39
Top 77  hits: 90.39
Top 78  hits: 90.47
Top 79  hits: 90.55
Top 80  hits: 90.61
Top 81  hits: 90.64
Top 82  hits: 90.69
Top 83  hits: 90.75
Top 84  hits: 90.80
Top 85  hits: 90.89
Top 86  hits: 90.91
Top 87  hits: 90.94
Top 88  hits: 91.05
Top 89  hits: 91.08
Top 90  hits: 91.11
Top 91  hits: 91.14
Top 92  hits: 91.19
Top 93  hits: 91.22
Top 94  hits: 91.25
Top 95  hits: 91.25
Top 96  hits: 91.27
Top 97  hits: 91.30
Top 98  hits: 91.39
Top 99  hits: 91.44
Top 100 hits: 91.44
