Top 1   hits: 10.69
Top 2   hits: 17.06
Top 3   hits: 21.00
Top 4   hits: 24.46
Top 5   hits: 27.62
Top 6   hits: 29.75
Top 7   hits: 31.63
Top 8   hits: 33.35
Top 9   hits: 34.79
Top 10  hits: 35.96
Top 11  hits: 37.12
Top 12  hits: 38.01
Top 13  hits: 39.34
Top 14  hits: 40.17
Top 15  hits: 41.02
Top 16  hits: 41.66
Top 17  hits: 42.66
Top 18  hits: 43.55
Top 19  hits: 44.38
Top 20  hits: 45.04
Top 21  hits: 45.57
Top 22  hits: 46.18
Top 23  hits: 46.87
Top 24  hits: 47.31
Top 25  hits: 47.87
Top 26  hits: 48.53
Top 27  hits: 49.17
Top 28  hits: 49.67
Top 29  hits: 50.08
Top 30  hits: 50.61
Top 31  hits: 51.02
Top 32  hits: 51.41
Top 33  hits: 51.88
Top 34  hits: 52.22
Top 35  hits: 52.55
Top 36  hits: 52.83
Top 37  hits: 53.10
Top 38  hits: 53.35
Top 39  hits: 53.55
Top 40  hits: 53.88
Top 41  hits: 54.21
Top 42  hits: 54.40
Top 43  hits: 54.63
Top 44  hits: 54.88
Top 45  hits: 55.37
Top 46  hits: 55.60
Top 47  hits: 55.84
Top 48  hits: 56.12
Top 49  hits: 56.40
Top 50  hits: 56.70
Top 51  hits: 56.84
Top 52  hits: 57.04
Top 53  hits: 57.20
Top 54  hits: 57.56
Top 55  hits: 57.87
Top 56  hits: 58.01
Top 57  hits: 58.34
Top 58  hits: 58.39
Top 59  hits: 58.45
Top 60  hits: 58.61
Top 61  hits: 58.75
Top 62  hits: 58.92
Top 63  hits: 59.09
Top 64  hits: 59.20
Top 65  hits: 59.67
Top 66  hits: 59.89
Top 67  hits: 60.14
Top 68  hits: 60.30
Top 69  hits: 60.42
Top 70  hits: 60.64
Top 71  hits: 60.72
Top 72  hits: 60.94
Top 73  hits: 61.02
Top 74  hits: 61.14
Top 75  hits: 61.25
Top 76  hits: 61.41
Top 77  hits: 61.63
Top 78  hits: 61.77
Top 79  hits: 61.91
Top 80  hits: 62.05
Top 81  hits: 62.08
Top 82  hits: 62.27
Top 83  hits: 62.27
Top 84  hits: 62.38
Top 85  hits: 62.52
Top 86  hits: 62.63
Top 87  hits: 62.83
Top 88  hits: 62.88
Top 89  hits: 62.91
Top 90  hits: 63.02
Top 91  hits: 63.02
Top 92  hits: 63.13
Top 93  hits: 63.30
Top 94  hits: 63.43
Top 95  hits: 63.52
Top 96  hits: 63.74
Top 97  hits: 63.82
Top 98  hits: 63.93
Top 99  hits: 64.02
Top 100 hits: 64.10
