Top 1   hits: 36.09
Top 2   hits: 48.37
Top 3   hits: 55.40
Top 4   hits: 60.50
Top 5   hits: 63.82
Top 6   hits: 66.73
Top 7   hits: 69.50
Top 8   hits: 71.41
Top 9   hits: 72.85
Top 10  hits: 74.10
Top 11  hits: 75.15
Top 12  hits: 76.20
Top 13  hits: 77.15
Top 14  hits: 78.23
Top 15  hits: 79.14
Top 16  hits: 79.67
Top 17  hits: 80.22
Top 18  hits: 80.75
Top 19  hits: 81.25
Top 20  hits: 81.75
Top 21  hits: 82.19
Top 22  hits: 82.55
Top 23  hits: 83.13
Top 24  hits: 83.41
Top 25  hits: 83.60
Top 26  hits: 83.85
Top 27  hits: 84.29
Top 28  hits: 84.52
Top 29  hits: 84.79
Top 30  hits: 85.04
Top 31  hits: 85.32
Top 32  hits: 85.57
Top 33  hits: 85.84
Top 34  hits: 85.93
Top 35  hits: 86.07
Top 36  hits: 86.32
Top 37  hits: 86.62
Top 38  hits: 86.79
Top 39  hits: 86.93
Top 40  hits: 87.01
Top 41  hits: 87.15
Top 42  hits: 87.40
Top 43  hits: 87.48
Top 44  hits: 87.70
Top 45  hits: 87.89
Top 46  hits: 88.03
Top 47  hits: 88.23
Top 48  hits: 88.37
Top 49  hits: 88.48
Top 50  hits: 88.53
Top 51  hits: 88.64
Top 52  hits: 88.78
Top 53  hits: 88.86
Top 54  hits: 88.98
Top 55  hits: 89.03
Top 56  hits: 89.11
Top 57  hits: 89.31
Top 58  hits: 89.39
Top 59  hits: 89.42
Top 60  hits: 89.50
Top 61  hits: 89.61
Top 62  hits: 89.70
Top 63  hits: 89.70
Top 64  hits: 89.75
Top 65  hits: 89.83
Top 66  hits: 89.89
Top 67  hits: 90.00
Top 68  hits: 90.08
Top 69  hits: 90.22
Top 70  hits: 90.28
Top 71  hits: 90.33
Top 72  hits: 90.50
Top 73  hits: 90.53
Top 74  hits: 90.64
Top 75  hits: 90.69
Top 76  hits: 90.75
Top 77  hits: 90.86
Top 78  hits: 90.94
Top 79  hits: 91.00
Top 80  hits: 91.00
Top 81  hits: 91.02
Top 82  hits: 91.02
Top 83  hits: 91.05
Top 84  hits: 91.11
Top 85  hits: 91.16
Top 86  hits: 91.19
Top 87  hits: 91.22
Top 88  hits: 91.30
Top 89  hits: 91.33
Top 90  hits: 91.36
Top 91  hits: 91.41
Top 92  hits: 91.50
Top 93  hits: 91.50
Top 94  hits: 91.52
Top 95  hits: 91.55
Top 96  hits: 91.58
Top 97  hits: 91.63
Top 98  hits: 91.66
Top 99  hits: 91.72
Top 100 hits: 91.77
