Top 1   hits: 29.78
Top 2   hits: 42.05
Top 3   hits: 50.22
Top 4   hits: 55.43
Top 5   hits: 59.45
Top 6   hits: 62.63
Top 7   hits: 64.68
Top 8   hits: 66.98
Top 9   hits: 68.78
Top 10  hits: 70.47
Top 11  hits: 71.61
Top 12  hits: 72.63
Top 13  hits: 73.30
Top 14  hits: 74.32
Top 15  hits: 75.10
Top 16  hits: 75.82
Top 17  hits: 76.37
Top 18  hits: 77.06
Top 19  hits: 77.48
Top 20  hits: 78.14
Top 21  hits: 78.75
Top 22  hits: 79.03
Top 23  hits: 79.42
Top 24  hits: 79.83
Top 25  hits: 80.08
Top 26  hits: 80.47
Top 27  hits: 80.78
Top 28  hits: 81.11
Top 29  hits: 81.50
Top 30  hits: 81.83
Top 31  hits: 82.22
Top 32  hits: 82.47
Top 33  hits: 82.77
Top 34  hits: 83.10
Top 35  hits: 83.43
Top 36  hits: 83.57
Top 37  hits: 83.82
Top 38  hits: 84.18
Top 39  hits: 84.43
Top 40  hits: 84.57
Top 41  hits: 84.79
Top 42  hits: 85.01
Top 43  hits: 85.15
Top 44  hits: 85.29
Top 45  hits: 85.43
Top 46  hits: 85.48
Top 47  hits: 85.71
Top 48  hits: 85.79
Top 49  hits: 85.90
Top 50  hits: 86.04
Top 51  hits: 86.09
Top 52  hits: 86.32
Top 53  hits: 86.48
Top 54  hits: 86.59
Top 55  hits: 86.68
Top 56  hits: 86.70
Top 57  hits: 86.84
Top 58  hits: 86.84
Top 59  hits: 87.01
Top 60  hits: 87.15
Top 61  hits: 87.26
Top 62  hits: 87.29
Top 63  hits: 87.34
Top 64  hits: 87.45
Top 65  hits: 87.53
Top 66  hits: 87.62
Top 67  hits: 87.73
Top 68  hits: 87.81
Top 69  hits: 87.92
Top 70  hits: 87.95
Top 71  hits: 88.06
Top 72  hits: 88.20
Top 73  hits: 88.28
Top 74  hits: 88.39
Top 75  hits: 88.42
Top 76  hits: 88.48
Top 77  hits: 88.59
Top 78  hits: 88.70
Top 79  hits: 88.73
Top 80  hits: 88.81
Top 81  hits: 88.86
Top 82  hits: 88.95
Top 83  hits: 88.98
Top 84  hits: 89.06
Top 85  hits: 89.17
Top 86  hits: 89.28
Top 87  hits: 89.34
Top 88  hits: 89.42
Top 89  hits: 89.45
Top 90  hits: 89.47
Top 91  hits: 89.50
Top 92  hits: 89.50
Top 93  hits: 89.58
Top 94  hits: 89.64
Top 95  hits: 89.78
Top 96  hits: 89.81
Top 97  hits: 89.94
Top 98  hits: 89.97
Top 99  hits: 90.06
Top 100 hits: 90.22
