Top 1   hits: 28.37
Top 2   hits: 38.03
Top 3   hits: 44.57
Top 4   hits: 48.14
Top 5   hits: 51.08
Top 6   hits: 53.07
Top 7   hits: 54.71
Top 8   hits: 56.40
Top 9   hits: 57.98
Top 10  hits: 59.09
Top 11  hits: 60.11
Top 12  hits: 61.11
Top 13  hits: 61.94
Top 14  hits: 62.41
Top 15  hits: 63.19
Top 16  hits: 63.60
Top 17  hits: 64.07
Top 18  hits: 64.49
Top 19  hits: 64.82
Top 20  hits: 65.24
Top 21  hits: 65.46
Top 22  hits: 65.93
Top 23  hits: 66.18
Top 24  hits: 66.43
Top 25  hits: 66.76
Top 26  hits: 67.17
Top 27  hits: 67.45
Top 28  hits: 67.76
Top 29  hits: 68.03
Top 30  hits: 68.23
Top 31  hits: 68.45
Top 32  hits: 68.64
Top 33  hits: 68.81
Top 34  hits: 68.95
Top 35  hits: 69.25
Top 36  hits: 69.45
Top 37  hits: 69.53
Top 38  hits: 69.78
Top 39  hits: 69.94
Top 40  hits: 70.00
Top 41  hits: 70.17
Top 42  hits: 70.30
Top 43  hits: 70.36
Top 44  hits: 70.47
Top 45  hits: 70.58
Top 46  hits: 70.69
Top 47  hits: 70.80
Top 48  hits: 70.89
Top 49  hits: 71.02
Top 50  hits: 71.08
Top 51  hits: 71.22
Top 52  hits: 71.36
Top 53  hits: 71.39
Top 54  hits: 71.52
Top 55  hits: 71.61
Top 56  hits: 71.69
Top 57  hits: 71.75
Top 58  hits: 71.80
Top 59  hits: 71.91
Top 60  hits: 72.05
Top 61  hits: 72.24
Top 62  hits: 72.30
Top 63  hits: 72.35
Top 64  hits: 72.49
Top 65  hits: 72.55
Top 66  hits: 72.60
Top 67  hits: 72.77
Top 68  hits: 72.88
Top 69  hits: 72.99
Top 70  hits: 73.24
Top 71  hits: 73.32
Top 72  hits: 73.35
Top 73  hits: 73.41
Top 74  hits: 73.46
Top 75  hits: 73.55
Top 76  hits: 73.63
Top 77  hits: 73.66
Top 78  hits: 73.66
Top 79  hits: 73.74
Top 80  hits: 73.80
Top 81  hits: 73.82
Top 82  hits: 73.88
Top 83  hits: 73.88
Top 84  hits: 73.96
Top 85  hits: 74.02
Top 86  hits: 74.13
Top 87  hits: 74.29
Top 88  hits: 74.35
Top 89  hits: 74.35
Top 90  hits: 74.38
Top 91  hits: 74.38
Top 92  hits: 74.38
Top 93  hits: 74.49
Top 94  hits: 74.54
Top 95  hits: 74.63
Top 96  hits: 74.65
Top 97  hits: 74.68
Top 98  hits: 74.74
Top 99  hits: 74.74
Top 100 hits: 74.82
