Top 1   hits: 38.53
Top 2   hits: 49.92
Top 3   hits: 55.73
Top 4   hits: 60.55
Top 5   hits: 63.91
Top 6   hits: 66.54
Top 7   hits: 68.78
Top 8   hits: 70.39
Top 9   hits: 72.05
Top 10  hits: 73.46
Top 11  hits: 75.10
Top 12  hits: 75.96
Top 13  hits: 76.73
Top 14  hits: 77.53
Top 15  hits: 78.20
Top 16  hits: 78.84
Top 17  hits: 79.64
Top 18  hits: 80.06
Top 19  hits: 80.42
Top 20  hits: 80.75
Top 21  hits: 81.25
Top 22  hits: 81.66
Top 23  hits: 81.91
Top 24  hits: 82.41
Top 25  hits: 82.66
Top 26  hits: 83.07
Top 27  hits: 83.43
Top 28  hits: 83.74
Top 29  hits: 83.88
Top 30  hits: 84.10
Top 31  hits: 84.43
Top 32  hits: 84.57
Top 33  hits: 84.68
Top 34  hits: 84.79
Top 35  hits: 85.04
Top 36  hits: 85.10
Top 37  hits: 85.26
Top 38  hits: 85.51
Top 39  hits: 85.65
Top 40  hits: 85.90
Top 41  hits: 86.04
Top 42  hits: 86.40
Top 43  hits: 86.59
Top 44  hits: 86.73
Top 45  hits: 86.90
Top 46  hits: 87.01
Top 47  hits: 87.06
Top 48  hits: 87.26
Top 49  hits: 87.51
Top 50  hits: 87.53
Top 51  hits: 87.67
Top 52  hits: 87.76
Top 53  hits: 87.87
Top 54  hits: 88.01
Top 55  hits: 88.09
Top 56  hits: 88.17
Top 57  hits: 88.31
Top 58  hits: 88.42
Top 59  hits: 88.50
Top 60  hits: 88.70
Top 61  hits: 88.78
Top 62  hits: 88.84
Top 63  hits: 88.92
Top 64  hits: 89.00
Top 65  hits: 89.22
Top 66  hits: 89.28
Top 67  hits: 89.36
Top 68  hits: 89.42
Top 69  hits: 89.50
Top 70  hits: 89.56
Top 71  hits: 89.61
Top 72  hits: 89.61
Top 73  hits: 89.70
Top 74  hits: 89.78
Top 75  hits: 89.81
Top 76  hits: 89.83
Top 77  hits: 89.86
Top 78  hits: 89.92
Top 79  hits: 90.03
Top 80  hits: 90.11
Top 81  hits: 90.17
Top 82  hits: 90.22
Top 83  hits: 90.28
Top 84  hits: 90.30
Top 85  hits: 90.33
Top 86  hits: 90.36
Top 87  hits: 90.44
Top 88  hits: 90.58
Top 89  hits: 90.64
Top 90  hits: 90.69
Top 91  hits: 90.69
Top 92  hits: 90.78
Top 93  hits: 90.80
Top 94  hits: 90.80
Top 95  hits: 90.83
Top 96  hits: 90.86
Top 97  hits: 90.89
Top 98  hits: 90.94
Top 99  hits: 90.94
Top 100 hits: 91.00
