Top 1   hits: 41.02
Top 2   hits: 53.68
Top 3   hits: 60.97
Top 4   hits: 65.98
Top 5   hits: 69.70
Top 6   hits: 72.22
Top 7   hits: 74.13
Top 8   hits: 75.35
Top 9   hits: 76.54
Top 10  hits: 78.01
Top 11  hits: 79.09
Top 12  hits: 79.92
Top 13  hits: 80.97
Top 14  hits: 81.63
Top 15  hits: 82.33
Top 16  hits: 83.30
Top 17  hits: 83.74
Top 18  hits: 84.21
Top 19  hits: 84.49
Top 20  hits: 84.90
Top 21  hits: 85.32
Top 22  hits: 85.60
Top 23  hits: 85.96
Top 24  hits: 86.32
Top 25  hits: 86.62
Top 26  hits: 86.84
Top 27  hits: 87.12
Top 28  hits: 87.40
Top 29  hits: 87.59
Top 30  hits: 87.78
Top 31  hits: 87.92
Top 32  hits: 88.09
Top 33  hits: 88.31
Top 34  hits: 88.56
Top 35  hits: 88.78
Top 36  hits: 88.98
Top 37  hits: 89.22
Top 38  hits: 89.36
Top 39  hits: 89.61
Top 40  hits: 89.72
Top 41  hits: 89.92
Top 42  hits: 90.08
Top 43  hits: 90.19
Top 44  hits: 90.30
Top 45  hits: 90.50
Top 46  hits: 90.64
Top 47  hits: 90.72
Top 48  hits: 90.83
Top 49  hits: 90.91
Top 50  hits: 91.00
Top 51  hits: 91.14
Top 52  hits: 91.22
Top 53  hits: 91.33
Top 54  hits: 91.50
Top 55  hits: 91.50
Top 56  hits: 91.61
Top 57  hits: 91.66
Top 58  hits: 91.77
Top 59  hits: 91.88
Top 60  hits: 91.97
Top 61  hits: 92.11
Top 62  hits: 92.19
Top 63  hits: 92.24
Top 64  hits: 92.24
Top 65  hits: 92.38
Top 66  hits: 92.47
Top 67  hits: 92.58
Top 68  hits: 92.60
Top 69  hits: 92.71
Top 70  hits: 92.85
Top 71  hits: 92.96
Top 72  hits: 92.99
Top 73  hits: 93.05
Top 74  hits: 93.05
Top 75  hits: 93.10
Top 76  hits: 93.21
Top 77  hits: 93.27
Top 78  hits: 93.35
Top 79  hits: 93.38
Top 80  hits: 93.41
Top 81  hits: 93.49
Top 82  hits: 93.57
Top 83  hits: 93.68
Top 84  hits: 93.68
Top 85  hits: 93.71
Top 86  hits: 93.71
Top 87  hits: 93.77
Top 88  hits: 93.80
Top 89  hits: 93.82
Top 90  hits: 93.82
Top 91  hits: 93.82
Top 92  hits: 93.82
Top 93  hits: 93.85
Top 94  hits: 93.88
Top 95  hits: 93.96
Top 96  hits: 93.99
Top 97  hits: 93.99
Top 98  hits: 93.99
Top 99  hits: 94.02
Top 100 hits: 94.04
