Top 1   hits: 48.28
Top 2   hits: 59.39
Top 3   hits: 66.32
Top 4   hits: 69.70
Top 5   hits: 72.96
Top 6   hits: 74.63
Top 7   hits: 76.70
Top 8   hits: 78.17
Top 9   hits: 79.39
Top 10  hits: 80.33
Top 11  hits: 81.25
Top 12  hits: 82.02
Top 13  hits: 82.83
Top 14  hits: 83.35
Top 15  hits: 83.85
Top 16  hits: 84.29
Top 17  hits: 84.74
Top 18  hits: 85.32
Top 19  hits: 85.76
Top 20  hits: 86.04
Top 21  hits: 86.40
Top 22  hits: 86.73
Top 23  hits: 86.93
Top 24  hits: 87.23
Top 25  hits: 87.45
Top 26  hits: 87.67
Top 27  hits: 87.95
Top 28  hits: 88.09
Top 29  hits: 88.31
Top 30  hits: 88.64
Top 31  hits: 88.84
Top 32  hits: 89.00
Top 33  hits: 89.14
Top 34  hits: 89.39
Top 35  hits: 89.58
Top 36  hits: 89.78
Top 37  hits: 89.92
Top 38  hits: 90.00
Top 39  hits: 90.08
Top 40  hits: 90.25
Top 41  hits: 90.30
Top 42  hits: 90.44
Top 43  hits: 90.50
Top 44  hits: 90.61
Top 45  hits: 90.75
Top 46  hits: 90.83
Top 47  hits: 90.89
Top 48  hits: 91.00
Top 49  hits: 91.08
Top 50  hits: 91.16
Top 51  hits: 91.25
Top 52  hits: 91.33
Top 53  hits: 91.52
Top 54  hits: 91.55
Top 55  hits: 91.61
Top 56  hits: 91.63
Top 57  hits: 91.75
Top 58  hits: 91.75
Top 59  hits: 91.83
Top 60  hits: 91.86
Top 61  hits: 91.91
Top 62  hits: 92.02
Top 63  hits: 92.19
Top 64  hits: 92.22
Top 65  hits: 92.24
Top 66  hits: 92.35
Top 67  hits: 92.41
Top 68  hits: 92.41
Top 69  hits: 92.44
Top 70  hits: 92.55
Top 71  hits: 92.60
Top 72  hits: 92.71
Top 73  hits: 92.74
Top 74  hits: 92.77
Top 75  hits: 92.85
Top 76  hits: 92.99
Top 77  hits: 93.02
Top 78  hits: 93.16
Top 79  hits: 93.16
Top 80  hits: 93.19
Top 81  hits: 93.24
Top 82  hits: 93.32
Top 83  hits: 93.32
Top 84  hits: 93.41
Top 85  hits: 93.41
Top 86  hits: 93.41
Top 87  hits: 93.46
Top 88  hits: 93.49
Top 89  hits: 93.55
Top 90  hits: 93.60
Top 91  hits: 93.60
Top 92  hits: 93.60
Top 93  hits: 93.63
Top 94  hits: 93.66
Top 95  hits: 93.71
Top 96  hits: 93.77
Top 97  hits: 93.77
Top 98  hits: 93.77
Top 99  hits: 93.80
Top 100 hits: 93.80
