Top 1   hits: 28.53
Top 2   hits: 38.53
Top 3   hits: 43.93
Top 4   hits: 48.17
Top 5   hits: 51.27
Top 6   hits: 53.46
Top 7   hits: 55.60
Top 8   hits: 57.26
Top 9   hits: 58.42
Top 10  hits: 59.67
Top 11  hits: 60.80
Top 12  hits: 61.77
Top 13  hits: 62.47
Top 14  hits: 63.19
Top 15  hits: 63.82
Top 16  hits: 64.54
Top 17  hits: 65.12
Top 18  hits: 65.60
Top 19  hits: 66.04
Top 20  hits: 66.37
Top 21  hits: 66.76
Top 22  hits: 67.23
Top 23  hits: 67.51
Top 24  hits: 68.01
Top 25  hits: 68.39
Top 26  hits: 68.70
Top 27  hits: 69.03
Top 28  hits: 69.42
Top 29  hits: 69.81
Top 30  hits: 69.92
Top 31  hits: 70.03
Top 32  hits: 70.28
Top 33  hits: 70.53
Top 34  hits: 70.75
Top 35  hits: 71.02
Top 36  hits: 71.25
Top 37  hits: 71.30
Top 38  hits: 71.36
Top 39  hits: 71.61
Top 40  hits: 71.72
Top 41  hits: 71.88
Top 42  hits: 71.99
Top 43  hits: 72.05
Top 44  hits: 72.22
Top 45  hits: 72.38
Top 46  hits: 72.52
Top 47  hits: 72.60
Top 48  hits: 72.71
Top 49  hits: 72.88
Top 50  hits: 72.99
Top 51  hits: 73.10
Top 52  hits: 73.21
Top 53  hits: 73.27
Top 54  hits: 73.35
Top 55  hits: 73.52
Top 56  hits: 73.80
Top 57  hits: 73.93
Top 58  hits: 73.99
Top 59  hits: 74.10
Top 60  hits: 74.18
Top 61  hits: 74.32
Top 62  hits: 74.43
Top 63  hits: 74.52
Top 64  hits: 74.63
Top 65  hits: 74.65
Top 66  hits: 74.79
Top 67  hits: 74.88
Top 68  hits: 74.96
Top 69  hits: 75.04
Top 70  hits: 75.15
Top 71  hits: 75.18
Top 72  hits: 75.26
Top 73  hits: 75.32
Top 74  hits: 75.32
Top 75  hits: 75.40
Top 76  hits: 75.51
Top 77  hits: 75.51
Top 78  hits: 75.65
Top 79  hits: 75.76
Top 80  hits: 75.93
Top 81  hits: 75.93
Top 82  hits: 75.93
Top 83  hits: 75.96
Top 84  hits: 76.07
Top 85  hits: 76.07
Top 86  hits: 76.12
Top 87  hits: 76.12
Top 88  hits: 76.20
Top 89  hits: 76.32
Top 90  hits: 76.34
Top 91  hits: 76.48
Top 92  hits: 76.57
Top 93  hits: 76.62
Top 94  hits: 76.73
Top 95  hits: 76.81
Top 96  hits: 76.87
Top 97  hits: 76.93
Top 98  hits: 77.06
Top 99  hits: 77.12
Top 100 hits: 77.23
