Top 1   hits: 43.24
Top 2   hits: 55.37
Top 3   hits: 61.91
Top 4   hits: 66.23
Top 5   hits: 69.42
Top 6   hits: 71.91
Top 7   hits: 73.60
Top 8   hits: 75.24
Top 9   hits: 76.57
Top 10  hits: 77.67
Top 11  hits: 78.67
Top 12  hits: 79.78
Top 13  hits: 80.44
Top 14  hits: 81.36
Top 15  hits: 81.99
Top 16  hits: 82.63
Top 17  hits: 83.19
Top 18  hits: 83.60
Top 19  hits: 84.24
Top 20  hits: 84.85
Top 21  hits: 85.21
Top 22  hits: 85.60
Top 23  hits: 85.93
Top 24  hits: 86.26
Top 25  hits: 86.62
Top 26  hits: 86.90
Top 27  hits: 87.17
Top 28  hits: 87.42
Top 29  hits: 87.81
Top 30  hits: 87.98
Top 31  hits: 88.09
Top 32  hits: 88.34
Top 33  hits: 88.56
Top 34  hits: 88.81
Top 35  hits: 89.00
Top 36  hits: 89.11
Top 37  hits: 89.25
Top 38  hits: 89.45
Top 39  hits: 89.58
Top 40  hits: 89.70
Top 41  hits: 89.89
Top 42  hits: 89.97
Top 43  hits: 90.08
Top 44  hits: 90.19
Top 45  hits: 90.25
Top 46  hits: 90.30
Top 47  hits: 90.39
Top 48  hits: 90.50
Top 49  hits: 90.58
Top 50  hits: 90.75
Top 51  hits: 90.83
Top 52  hits: 90.89
Top 53  hits: 90.91
Top 54  hits: 90.97
Top 55  hits: 91.08
Top 56  hits: 91.25
Top 57  hits: 91.33
Top 58  hits: 91.41
Top 59  hits: 91.55
Top 60  hits: 91.61
Top 61  hits: 91.69
Top 62  hits: 91.77
Top 63  hits: 91.83
Top 64  hits: 91.86
Top 65  hits: 91.99
Top 66  hits: 92.05
Top 67  hits: 92.11
Top 68  hits: 92.16
Top 69  hits: 92.22
Top 70  hits: 92.35
Top 71  hits: 92.41
Top 72  hits: 92.41
Top 73  hits: 92.44
Top 74  hits: 92.52
Top 75  hits: 92.60
Top 76  hits: 92.66
Top 77  hits: 92.74
Top 78  hits: 92.80
Top 79  hits: 92.85
Top 80  hits: 92.94
Top 81  hits: 92.99
Top 82  hits: 93.02
Top 83  hits: 93.05
Top 84  hits: 93.10
Top 85  hits: 93.10
Top 86  hits: 93.16
Top 87  hits: 93.16
Top 88  hits: 93.19
Top 89  hits: 93.24
Top 90  hits: 93.27
Top 91  hits: 93.35
Top 92  hits: 93.41
Top 93  hits: 93.41
Top 94  hits: 93.43
Top 95  hits: 93.52
Top 96  hits: 93.52
Top 97  hits: 93.52
Top 98  hits: 93.63
Top 99  hits: 93.66
Top 100 hits: 93.71
