Top 1   hits: 26.20
Top 2   hits: 34.85
Top 3   hits: 41.25
Top 4   hits: 45.04
Top 5   hits: 48.78
Top 6   hits: 51.14
Top 7   hits: 53.57
Top 8   hits: 54.96
Top 9   hits: 56.20
Top 10  hits: 57.78
Top 11  hits: 58.95
Top 12  hits: 60.00
Top 13  hits: 60.97
Top 14  hits: 61.83
Top 15  hits: 62.47
Top 16  hits: 63.16
Top 17  hits: 63.88
Top 18  hits: 64.49
Top 19  hits: 64.93
Top 20  hits: 65.43
Top 21  hits: 66.26
Top 22  hits: 66.90
Top 23  hits: 67.29
Top 24  hits: 67.67
Top 25  hits: 68.06
Top 26  hits: 68.45
Top 27  hits: 68.92
Top 28  hits: 69.14
Top 29  hits: 69.53
Top 30  hits: 69.81
Top 31  hits: 69.97
Top 32  hits: 70.28
Top 33  hits: 70.64
Top 34  hits: 70.97
Top 35  hits: 71.16
Top 36  hits: 71.41
Top 37  hits: 71.61
Top 38  hits: 71.72
Top 39  hits: 71.88
Top 40  hits: 72.05
Top 41  hits: 72.22
Top 42  hits: 72.38
Top 43  hits: 72.49
Top 44  hits: 72.71
Top 45  hits: 72.94
Top 46  hits: 73.24
Top 47  hits: 73.43
Top 48  hits: 73.63
Top 49  hits: 73.88
Top 50  hits: 73.99
Top 51  hits: 74.16
Top 52  hits: 74.40
Top 53  hits: 74.57
Top 54  hits: 74.71
Top 55  hits: 74.85
Top 56  hits: 74.88
Top 57  hits: 74.93
Top 58  hits: 74.96
Top 59  hits: 75.12
Top 60  hits: 75.18
Top 61  hits: 75.26
Top 62  hits: 75.37
Top 63  hits: 75.43
Top 64  hits: 75.51
Top 65  hits: 75.65
Top 66  hits: 75.68
Top 67  hits: 75.82
Top 68  hits: 76.04
Top 69  hits: 76.20
Top 70  hits: 76.26
Top 71  hits: 76.34
Top 72  hits: 76.45
Top 73  hits: 76.59
Top 74  hits: 76.65
Top 75  hits: 76.79
Top 76  hits: 76.84
Top 77  hits: 76.93
Top 78  hits: 77.06
Top 79  hits: 77.15
Top 80  hits: 77.20
Top 81  hits: 77.29
Top 82  hits: 77.40
Top 83  hits: 77.53
Top 84  hits: 77.65
Top 85  hits: 77.67
Top 86  hits: 77.76
Top 87  hits: 77.81
Top 88  hits: 77.87
Top 89  hits: 77.92
Top 90  hits: 78.01
Top 91  hits: 78.03
Top 92  hits: 78.09
Top 93  hits: 78.17
Top 94  hits: 78.23
Top 95  hits: 78.23
Top 96  hits: 78.28
Top 97  hits: 78.34
Top 98  hits: 78.42
Top 99  hits: 78.48
Top 100 hits: 78.50
