Top 1   hits: 39.31
Top 2   hits: 49.31
Top 3   hits: 55.84
Top 4   hits: 60.75
Top 5   hits: 63.91
Top 6   hits: 66.45
Top 7   hits: 68.84
Top 8   hits: 70.55
Top 9   hits: 71.69
Top 10  hits: 73.10
Top 11  hits: 74.10
Top 12  hits: 75.12
Top 13  hits: 76.04
Top 14  hits: 76.79
Top 15  hits: 77.62
Top 16  hits: 78.25
Top 17  hits: 78.84
Top 18  hits: 79.50
Top 19  hits: 79.92
Top 20  hits: 80.33
Top 21  hits: 80.61
Top 22  hits: 81.02
Top 23  hits: 81.30
Top 24  hits: 81.66
Top 25  hits: 81.94
Top 26  hits: 82.16
Top 27  hits: 82.38
Top 28  hits: 82.69
Top 29  hits: 83.05
Top 30  hits: 83.27
Top 31  hits: 83.60
Top 32  hits: 83.80
Top 33  hits: 83.91
Top 34  hits: 84.16
Top 35  hits: 84.38
Top 36  hits: 84.63
Top 37  hits: 84.99
Top 38  hits: 85.21
Top 39  hits: 85.37
Top 40  hits: 85.60
Top 41  hits: 85.79
Top 42  hits: 85.87
Top 43  hits: 85.93
Top 44  hits: 86.15
Top 45  hits: 86.29
Top 46  hits: 86.37
Top 47  hits: 86.45
Top 48  hits: 86.59
Top 49  hits: 86.73
Top 50  hits: 86.84
Top 51  hits: 86.90
Top 52  hits: 87.06
Top 53  hits: 87.29
Top 54  hits: 87.40
Top 55  hits: 87.51
Top 56  hits: 87.53
Top 57  hits: 87.67
Top 58  hits: 87.84
Top 59  hits: 87.95
Top 60  hits: 88.14
Top 61  hits: 88.25
Top 62  hits: 88.28
Top 63  hits: 88.37
Top 64  hits: 88.39
Top 65  hits: 88.42
Top 66  hits: 88.56
Top 67  hits: 88.64
Top 68  hits: 88.73
Top 69  hits: 88.84
Top 70  hits: 88.89
Top 71  hits: 88.92
Top 72  hits: 89.00
Top 73  hits: 89.03
Top 74  hits: 89.11
Top 75  hits: 89.20
Top 76  hits: 89.34
Top 77  hits: 89.42
Top 78  hits: 89.61
Top 79  hits: 89.78
Top 80  hits: 89.89
Top 81  hits: 89.92
Top 82  hits: 89.97
Top 83  hits: 89.97
Top 84  hits: 90.00
Top 85  hits: 90.06
Top 86  hits: 90.14
Top 87  hits: 90.17
Top 88  hits: 90.22
Top 89  hits: 90.25
Top 90  hits: 90.25
Top 91  hits: 90.25
Top 92  hits: 90.33
Top 93  hits: 90.42
Top 94  hits: 90.44
Top 95  hits: 90.50
Top 96  hits: 90.53
Top 97  hits: 90.53
Top 98  hits: 90.55
Top 99  hits: 90.64
Top 100 hits: 90.72
