Top 1   hits: 37.12
Top 2   hits: 49.83
Top 3   hits: 56.73
Top 4   hits: 61.14
Top 5   hits: 64.10
Top 6   hits: 66.93
Top 7   hits: 69.28
Top 8   hits: 71.00
Top 9   hits: 72.41
Top 10  hits: 73.74
Top 11  hits: 74.68
Top 12  hits: 76.20
Top 13  hits: 77.23
Top 14  hits: 78.17
Top 15  hits: 79.17
Top 16  hits: 79.86
Top 17  hits: 80.36
Top 18  hits: 81.05
Top 19  hits: 81.75
Top 20  hits: 82.08
Top 21  hits: 82.63
Top 22  hits: 82.88
Top 23  hits: 83.30
Top 24  hits: 83.57
Top 25  hits: 83.88
Top 26  hits: 84.18
Top 27  hits: 84.54
Top 28  hits: 84.76
Top 29  hits: 85.07
Top 30  hits: 85.21
Top 31  hits: 85.51
Top 32  hits: 85.71
Top 33  hits: 85.82
Top 34  hits: 86.15
Top 35  hits: 86.29
Top 36  hits: 86.45
Top 37  hits: 86.59
Top 38  hits: 86.73
Top 39  hits: 86.90
Top 40  hits: 87.04
Top 41  hits: 87.26
Top 42  hits: 87.48
Top 43  hits: 87.65
Top 44  hits: 87.78
Top 45  hits: 87.87
Top 46  hits: 87.92
Top 47  hits: 88.09
Top 48  hits: 88.20
Top 49  hits: 88.23
Top 50  hits: 88.39
Top 51  hits: 88.50
Top 52  hits: 88.59
Top 53  hits: 88.61
Top 54  hits: 88.70
Top 55  hits: 88.75
Top 56  hits: 88.78
Top 57  hits: 88.86
Top 58  hits: 88.95
Top 59  hits: 89.09
Top 60  hits: 89.28
Top 61  hits: 89.36
Top 62  hits: 89.47
Top 63  hits: 89.58
Top 64  hits: 89.72
Top 65  hits: 89.72
Top 66  hits: 89.72
Top 67  hits: 89.81
Top 68  hits: 89.92
Top 69  hits: 90.03
Top 70  hits: 90.06
Top 71  hits: 90.06
Top 72  hits: 90.11
Top 73  hits: 90.19
Top 74  hits: 90.25
Top 75  hits: 90.42
Top 76  hits: 90.44
Top 77  hits: 90.66
Top 78  hits: 90.72
Top 79  hits: 90.86
Top 80  hits: 90.89
Top 81  hits: 90.94
Top 82  hits: 90.97
Top 83  hits: 91.00
Top 84  hits: 91.00
Top 85  hits: 91.02
Top 86  hits: 91.14
Top 87  hits: 91.16
Top 88  hits: 91.27
Top 89  hits: 91.27
Top 90  hits: 91.30
Top 91  hits: 91.41
Top 92  hits: 91.47
Top 93  hits: 91.52
Top 94  hits: 91.63
Top 95  hits: 91.66
Top 96  hits: 91.69
Top 97  hits: 91.75
Top 98  hits: 91.86
Top 99  hits: 91.86
Top 100 hits: 91.94
